locus	genome	chromosome	orthoblock
group2377	Thamnophis-elegans	8	NOG4554
group2378	Thamnophis-elegans	NA	NA
group2379	Thamnophis-elegans	14	OG0000900
group2380	Thamnophis-elegans	12	OG0000158
group2381	Thamnophis-elegans	NA	NA
group2382	Thamnophis-elegans	9	OG0002286
group2382	Thamnophis-elegans	9	OG0013833
group2383	Thamnophis-elegans	NA	NA
group2384	Thamnophis-elegans	NA	NA
group2385	Thamnophis-elegans	17	NA
group2386	Thamnophis-elegans	16	OG0008844
group2387	Thamnophis-elegans	1	OG0000853
group2388	Thamnophis-elegans	13	OG0013789
group2389	Thamnophis-elegans	2	OG0009138
group2390	Thamnophis-elegans	14	NA
group2391	Thamnophis-elegans	Z	OG0001765
group2391	Thamnophis-elegans	Z	OG0003696
group2392	Thamnophis-elegans	5	NA
group2393	Thamnophis-elegans	Z	NA
group2394	Thamnophis-elegans	NW_022473589.1	NA
group2395	Thamnophis-elegans	NA	NA
group2396	Thamnophis-elegans	NA	NA
group2397	Thamnophis-elegans	Z	OG0013277
group2398	Thamnophis-elegans	Z	OG0013214
group2399	Thamnophis-elegans	15	OG0003202
group2400	Thamnophis-elegans	17	OG0010629
group2401	Thamnophis-elegans	7	NA
group2402	Thamnophis-elegans	NA	NA
group2403	Thamnophis-elegans	NA	NA
group2404	Thamnophis-elegans	NA	NA
group2405	Thamnophis-elegans	5	OG0001597
group2406	Thamnophis-elegans	9	OG0006218
group2406	Thamnophis-elegans	9	OG0006219
group2407	Thamnophis-elegans	7	OG0006076
group2408	Thamnophis-elegans	NA	NA
group2409	Thamnophis-elegans	10	OG0002696
group2409	Thamnophis-elegans	10	OG0002697
group2410	Thamnophis-elegans	7	OG0001048
group2411	Thamnophis-elegans	7	OG0000410
group2412	Thamnophis-elegans	9	NA
group2413	Thamnophis-elegans	NA	NA
group2414	Thamnophis-elegans	6	OG0012242
group2415	Thamnophis-elegans	1	OG0000859
group2416	Thamnophis-elegans	NA	NA
group2417	Thamnophis-elegans	Z	OG0000043
group2417	Thamnophis-elegans	Z	OG0000043
group2418	Thamnophis-elegans	12	OG0002381
group2419	Thamnophis-elegans	4	NA
group2420	Thamnophis-elegans	4	NA
group2421	Thamnophis-elegans	5	NA
group2422	Thamnophis-elegans	9	OG0009621
group2423	Thamnophis-elegans	NA	NA
group2424	Thamnophis-elegans	16	OG0001213
group2425	Thamnophis-elegans	10	NA
group2426	Thamnophis-elegans	4	NA
group2427	Thamnophis-elegans	1	OG0001531
group2428	Thamnophis-elegans	15	OG0002755
group2428	Thamnophis-elegans	15	OG0011997
group2429	Thamnophis-elegans	13	OG0010541
group2429	Thamnophis-elegans	13	OG0010542
group2430	Thamnophis-elegans	Z	OG0000320
group2431	Thamnophis-elegans	16	OG0008750
group2432	Thamnophis-elegans	2	OG0002206
group2433	Thamnophis-elegans	17	NA
group2434	Thamnophis-elegans	3	NA
group2435	Thamnophis-elegans	7	NOG4560
group2436	Thamnophis-elegans	4	NA
group2437	Thamnophis-elegans	2	NOG4366
group2438	Thamnophis-elegans	NA	NA
group2439	Thamnophis-elegans	4	OG0011145
group2440	Thamnophis-elegans	3	OG0000453
group2441	Thamnophis-elegans	4	NA
group2442	Thamnophis-elegans	Z	OG0013275
group2443	Thamnophis-elegans	1	OG0003241
group2444	Thamnophis-elegans	16	OG0008849
group2445	Thamnophis-elegans	NA	NA
group2446	Thamnophis-elegans	3	OG0002541
group2447	Thamnophis-elegans	7	OG0008863
group2448	Thamnophis-elegans	5	OG0000448
group2449	Thamnophis-elegans	NA	NA
group2450	Thamnophis-elegans	NA	NA
group2451	Thamnophis-elegans	15	NA
group2452	Thamnophis-elegans	11	OG0003168
group2453	Thamnophis-elegans	13	OG0012311
group2454	Thamnophis-elegans	14	OG0015907
group2455	Thamnophis-elegans	15	NA
group2456	Thamnophis-elegans	1	NA
group2457	Thamnophis-elegans	8	OG0000132
group2458	Thamnophis-elegans	Z	OG0000015
group2459	Thamnophis-elegans	1	OG0005849
group2460	Thamnophis-elegans	NA	NA
group2461	Thamnophis-elegans	Z	OG0005972
group2462	Thamnophis-elegans	NA	NA
group2463	Thamnophis-elegans	10	OG0003746
group2464	Thamnophis-elegans	17	OG0010681
group2465	Thamnophis-elegans	17	OG0007805
group2466	Thamnophis-elegans	1	OG0010616
group2467	Thamnophis-elegans	NA	NA
group2468	Thamnophis-elegans	NA	NA
group2469	Thamnophis-elegans	NA	NA
group2470	Thamnophis-elegans	Z	OG0000066
group2470	Thamnophis-elegans	Z	OG0000066
group2471	Thamnophis-elegans	5	OG0011710
group2472	Thamnophis-elegans	5	OG0002989
group2473	Thamnophis-elegans	6	OG0002781
group2474	Thamnophis-elegans	NA	NA
group2475	Thamnophis-elegans	12	OG0005846
group2475	Thamnophis-elegans	12	OG0013311
group2476	Thamnophis-elegans	Z	OG0009511
group2477	Thamnophis-elegans	14	OG0003327
group2478	Thamnophis-elegans	3	OG0010168
group2479	Thamnophis-elegans	3	NA
group2480	Thamnophis-elegans	9	NA
group2481	Thamnophis-elegans	Z	OG0000901
group2482	Thamnophis-elegans	Z	OG0000423
group2482	Thamnophis-elegans	Z	OG0012965
group2483	Thamnophis-elegans	17	NOG4467
group2484	Thamnophis-elegans	Z	NA
group2485	Thamnophis-elegans	3	NA
group2486	Thamnophis-elegans	Z	OG0001614
group2487	Thamnophis-elegans	Z	OG0000743
group2487	Thamnophis-elegans	Z	OG0015377
group2488	Thamnophis-elegans	4	NA
group2489	Thamnophis-elegans	12	OG0006703
group2490	Thamnophis-elegans	1	NA
group2491	Thamnophis-elegans	2	OG0000052
group2492	Thamnophis-elegans	8	NA
group2493	Thamnophis-elegans	2	OG0000084
group2494	Thamnophis-elegans	2	OG0000023
group2495	Thamnophis-elegans	NA	NA
group2496	Thamnophis-elegans	NA	NA
group2497	Thamnophis-elegans	NA	NA
group2498	Thamnophis-elegans	NA	NA
group2499	Thamnophis-elegans	12	OG0009334
group2499	Thamnophis-elegans	12	OG0009335
group2500	Thamnophis-elegans	9	OG0009929
group2501	Thamnophis-elegans	1	OG0000686
group2501	Thamnophis-elegans	1	OG0000686
group2502	Thamnophis-elegans	2	OG0000013
group2502	Thamnophis-elegans	2	OG0000013
group2503	Thamnophis-elegans	16	OG0009531
group2504	Thamnophis-elegans	NW_022473874.1	OG0015908
group2505	Thamnophis-elegans	Z	OG0002395
group2506	Thamnophis-elegans	14	OG0000908
group2507	Thamnophis-elegans	2	NA
group2508	Thamnophis-elegans	17	OG0007792
group2508	Thamnophis-elegans	17	OG0007793
group2508	Thamnophis-elegans	17	OG0007794
group2508	Thamnophis-elegans	17	OG0007795
group2508	Thamnophis-elegans	17	OG0013844
group2509	Thamnophis-elegans	Z	OG0000163
group2510	Thamnophis-elegans	16	OG0008843
group2511	Thamnophis-elegans	13	OG0015521
group2512	Thamnophis-elegans	NA	NA
group2513	Thamnophis-elegans	2	OG0000680
group2514	Thamnophis-elegans	Z	OG0000901
group2515	Thamnophis-elegans	NA	NA
group2516	Thamnophis-elegans	NW_022473749.1	OG0000005
group2517	Thamnophis-elegans	Z	OG0000004
group2518	Thamnophis-elegans	NA	NA
group2519	Thamnophis-elegans	8	OG0000276
group2520	Thamnophis-elegans	NA	NA
group2521	Thamnophis-elegans	Z	OG0001275
group2522	Thamnophis-elegans	16	OG0009670
group2523	Thamnophis-elegans	2	NA
group2524	Thamnophis-elegans	Z	OG0000056
group2525	Thamnophis-elegans	7	OG0002387
group2526	Thamnophis-elegans	3	OG0000041
group2527	Thamnophis-elegans	3	OG0002590
group2528	Thamnophis-elegans	2	OG0000666
group2529	Thamnophis-elegans	2	NA
group2530	Thamnophis-elegans	13	OG0011381
group2531	Thamnophis-elegans	15	OG0007683
group2532	Thamnophis-elegans	NA	NA
group2533	Thamnophis-elegans	Z	OG0000005
group2533	Thamnophis-elegans	Z	OG0000005
group2533	Thamnophis-elegans	Z	OG0000005
group2533	Thamnophis-elegans	Z	OG0000005
group2534	Thamnophis-elegans	5	OG0001413
group2534	Thamnophis-elegans	5	OG0007355
group2535	Thamnophis-elegans	NA	NA
group2536	Thamnophis-elegans	5	NA
group2537	Thamnophis-elegans	2	NA
group2538	Thamnophis-elegans	8	NA
group2539	Thamnophis-elegans	NA	NA
group2540	Thamnophis-elegans	Z	OG0000015
group2541	Thamnophis-elegans	7	NA
group2542	Thamnophis-elegans	9	OG0007759
group2543	Thamnophis-elegans	15	NA
group2544	Thamnophis-elegans	Z	OG0004647
group2545	Thamnophis-elegans	14	OG0000078
group2546	Thamnophis-elegans	8	NA
group2547	Thamnophis-elegans	Z	OG0000005
group2547	Thamnophis-elegans	Z	OG0000005
group2548	Thamnophis-elegans	7	OG0006161
group2549	Thamnophis-elegans	9	OG0004792
group2550	Thamnophis-elegans	5	OG0009203
group2551	Thamnophis-elegans	Z	OG0000001
group2551	Thamnophis-elegans	Z	OG0000001
group2552	Thamnophis-elegans	12	OG0002680
group2553	Thamnophis-elegans	15	OG0007072
group2554	Thamnophis-elegans	2	OG0000006
group2555	Thamnophis-elegans	11	OG0008057
group2555	Thamnophis-elegans	11	OG0008058
group2556	Thamnophis-elegans	12	OG0005833
group2556	Thamnophis-elegans	12	OG0015838
group2557	Thamnophis-elegans	17	OG0000678
group2557	Thamnophis-elegans	17	OG0007771
group2558	Thamnophis-elegans	16	OG0014379
group2559	Thamnophis-elegans	NA	NA
group2560	Thamnophis-elegans	11	OG0003550
group2560	Thamnophis-elegans	11	OG0003551
group2561	Thamnophis-elegans	11	OG0008040
group2561	Thamnophis-elegans	11	OG0008041
group2562	Thamnophis-elegans	Z	OG0004629
group2563	Thamnophis-elegans	2	OG0009954
group2564	Thamnophis-elegans	Z	NA
group2565	Thamnophis-elegans	8	OG0000266
group2566	Thamnophis-elegans	3	OG0008031
group2567	Thamnophis-elegans	7	OG0000414
group2567	Thamnophis-elegans	7	OG0009599
group2568	Thamnophis-elegans	14	OG0007422
group2568	Thamnophis-elegans	14	OG0007423
group2568	Thamnophis-elegans	14	OG0013735
group2569	Thamnophis-elegans	1	OG0000399
group2570	Thamnophis-elegans	1	OG0001336
group2571	Thamnophis-elegans	1	OG0000001
group2571	Thamnophis-elegans	1	OG0000001
group2571	Thamnophis-elegans	1	OG0000001
group2572	Thamnophis-elegans	16	OG0005583
group2573	Thamnophis-elegans	Z	OG0000002
group2574	Thamnophis-elegans	9	OG0000601
group2575	Thamnophis-elegans	7	OG0000033
group2575	Thamnophis-elegans	7	OG0000033
group2576	Thamnophis-elegans	Z	NA
group2577	Thamnophis-elegans	NA	NA
group2578	Thamnophis-elegans	3	OG0002934
group2579	Thamnophis-elegans	14	NA
group2580	Thamnophis-elegans	11	NA
group2581	Thamnophis-elegans	4	NOG4380
group2582	Thamnophis-elegans	NA	NA
group2583	Thamnophis-elegans	10	OG0011459
group2584	Thamnophis-elegans	2	OG0001529
group2585	Thamnophis-elegans	NA	NA
group2586	Thamnophis-elegans	NA	NA
group2587	Thamnophis-elegans	6	OG0012396
group2588	Thamnophis-elegans	15	OG0007702
group2589	Thamnophis-elegans	14	OG0000078
group2590	Thamnophis-elegans	6	OG0011409
group2591	Thamnophis-elegans	Z	OG0000007
group2592	Thamnophis-elegans	6	OG0012265
group2593	Thamnophis-elegans	14	OG0013725
group2594	Thamnophis-elegans	1	OG0000001
group2594	Thamnophis-elegans	1	OG0000001
group2595	Thamnophis-elegans	3	OG0000074
group2596	Thamnophis-elegans	1	NA
group2597	Thamnophis-elegans	7	OG0010120
group2598	Thamnophis-elegans	2	OG0000072
group2598	Thamnophis-elegans	2	OG0000072
group2599	Thamnophis-elegans	2	NA
group2600	Thamnophis-elegans	2	OG0012359
group2601	Thamnophis-elegans	NA	NA
group2602	Thamnophis-elegans	Z	OG0005978
group2603	Thamnophis-elegans	Z	OG0000879
group2604	Thamnophis-elegans	1	OG0000001
group2604	Thamnophis-elegans	1	OG0000001
group2604	Thamnophis-elegans	1	OG0000001
group2605	Thamnophis-elegans	14	OG0003395
group2606	Thamnophis-elegans	Z	OG0000056
group2607	Thamnophis-elegans	Z	OG0004696
group2608	Thamnophis-elegans	10	NA
group2609	Thamnophis-elegans	3	NA
group2610	Thamnophis-elegans	Z	NA
group2611	Thamnophis-elegans	16	NA
group2612	Thamnophis-elegans	NA	NA
group2613	Thamnophis-elegans	10	NA
group2614	Thamnophis-elegans	11	NA
group2615	Thamnophis-elegans	Z	OG0004898
group2616	Thamnophis-elegans	17	OG0000214
group2617	Thamnophis-elegans	17	OG0000214
group2618	Thamnophis-elegans	17	NA
group2619	Thamnophis-elegans	17	NA
group2620	Thamnophis-elegans	17	NA
group2621	Thamnophis-elegans	17	NA
group2622	Thamnophis-elegans	NA	NA
group2623	Thamnophis-elegans	17	NA
group2624	Thamnophis-elegans	17	NA
group2625	Thamnophis-elegans	17	NA
group2626	Thamnophis-elegans	11	OG0008041
group2626	Thamnophis-elegans	11	OG0008042
group2627	Thamnophis-elegans	5	OG0000068
group2628	Thamnophis-elegans	4	OG0000903
group2629	Thamnophis-elegans	11	OG0010344
group2629	Thamnophis-elegans	11	OG0010345
group2630	Thamnophis-elegans	1	OG0010693
group2631	Thamnophis-elegans	NA	NA
group2632	Thamnophis-elegans	14	OG0002142
group2632	Thamnophis-elegans	14	OG0008650
group2633	Thamnophis-elegans	NA	NA
group2634	Thamnophis-elegans	9	OG0004793
group2635	Thamnophis-elegans	1	OG0000319
group2636	Thamnophis-elegans	NA	NA
group2637	Thamnophis-elegans	1	NA
group2638	Thamnophis-elegans	NA	NA
group2639	Thamnophis-elegans	NA	NA
group2640	Thamnophis-elegans	NA	NA
group2641	Thamnophis-elegans	NA	NA
group2642	Thamnophis-elegans	2	OG0000001
group2642	Thamnophis-elegans	2	OG0000001
group2643	Thamnophis-elegans	6	OG0000253
group2643	Thamnophis-elegans	6	OG0002501
group2644	Thamnophis-elegans	Z	NA
group2645	Thamnophis-elegans	1	NA
group2646	Thamnophis-elegans	2	OG0001451
group2647	Thamnophis-elegans	12	OG0000210
group2648	Thamnophis-elegans	2	OG0012359
group2649	Thamnophis-elegans	Z	NA
group2650	Thamnophis-elegans	Z	OG0000005
group2651	Thamnophis-elegans	Z	OG0000005
group2652	Thamnophis-elegans	1	OG0000001
group2653	Thamnophis-elegans	10	OG0000676
group2654	Thamnophis-elegans	2	OG0001386
group2655	Thamnophis-elegans	NA	NA
group2656	Thamnophis-elegans	NA	NA
group2657	Thamnophis-elegans	17	NA
group2658	Thamnophis-elegans	3	OG0007949
group2659	Thamnophis-elegans	Z	NA
group2660	Thamnophis-elegans	14	OG0011925
group2660	Thamnophis-elegans	14	OG0015814
group2661	Thamnophis-elegans	Z	OG0000065
group2662	Thamnophis-elegans	Z	NA
group2663	Thamnophis-elegans	2	OG0000377
group2664	Thamnophis-elegans	Z	OG0000044
group2664	Thamnophis-elegans	Z	OG0000044
group2665	Thamnophis-elegans	Z	OG0000001
group2665	Thamnophis-elegans	Z	OG0000001
group2666	Thamnophis-elegans	17	NA
group2667	Thamnophis-elegans	17	OG0006631
group2668	Thamnophis-elegans	Z	OG0000005
group2668	Thamnophis-elegans	Z	OG0000005
group2669	Thamnophis-elegans	2	OG0000669
group2669	Thamnophis-elegans	2	OG0002713
group2670	Thamnophis-elegans	Z	OG0000005
group2670	Thamnophis-elegans	Z	OG0000005
group2671	Thamnophis-elegans	Z	OG0000049
group2672	Thamnophis-elegans	1	NA
group2673	Thamnophis-elegans	6	OG0015307
group2674	Thamnophis-elegans	Z	OG0012691
group2675	Thamnophis-elegans	17	NA
group2676	Thamnophis-elegans	1	NA
group2677	Thamnophis-elegans	NA	NA
group2678	Thamnophis-elegans	Z	OG0000066
group2678	Thamnophis-elegans	Z	OG0000066
group2679	Thamnophis-elegans	2	NA
group2680	Thamnophis-elegans	17	OG0015934
group2681	Thamnophis-elegans	2	NA
group2682	Thamnophis-elegans	13	NA
group2683	Thamnophis-elegans	Z	OG0000007
group2684	Thamnophis-elegans	Z	NA
group2685	Thamnophis-elegans	NA	NA
group2686	Thamnophis-elegans	Z	NA
group2687	Thamnophis-elegans	17	NA
group2688	Thamnophis-elegans	2	OG0000035
group2689	Thamnophis-elegans	NA	NA
group2690	Thamnophis-elegans	NA	NA
group2691	Thamnophis-elegans	2	OG0006488
group2692	Thamnophis-elegans	17	NA
group2693	Thamnophis-elegans	Z	OG0000015
group2694	Thamnophis-elegans	NA	NA
group2695	Thamnophis-elegans	NA	NA
group2696	Thamnophis-elegans	15	OG0007066
group2697	Thamnophis-elegans	13	OG0010497
group2698	Thamnophis-elegans	4	OG0000762
group2699	Thamnophis-elegans	NA	NA
group2700	Thamnophis-elegans	2	NOG4349
group2701	Thamnophis-elegans	NA	NA
group2702	Thamnophis-elegans	10	OG0000264
group2702	Thamnophis-elegans	10	OG0011001
group2703	Thamnophis-elegans	10	OG0002689
group2704	Thamnophis-elegans	17	NA
group2705	Thamnophis-elegans	17	NA
group2706	Thamnophis-elegans	1	NA
group2707	Thamnophis-elegans	3	NA
group2708	Thamnophis-elegans	16	OG0010312
group2709	Thamnophis-elegans	3	NA
group2710	Thamnophis-elegans	6	OG0012507
group2711	Thamnophis-elegans	NA	NA
group2712	Thamnophis-elegans	1	NA
group2713	Thamnophis-elegans	2	OG0000023
group2713	Thamnophis-elegans	2	OG0000023
group2713	Thamnophis-elegans	2	OG0000023
group2714	Thamnophis-elegans	NA	NA
group2715	Thamnophis-elegans	6	OG0006811
group2716	Thamnophis-elegans	4	NA
group2717	Thamnophis-elegans	10	OG0000659
group2718	Thamnophis-elegans	NA	NA
group2719	Thamnophis-elegans	Z	OG0006050
group2720	Thamnophis-elegans	2	NOG4355
group2720	Thamnophis-elegans	2	OG0001099
group2720	Thamnophis-elegans	2	OG0015992
group2721	Thamnophis-elegans	1	OG0005221
group2722	Thamnophis-elegans	12	NA
group2723	Thamnophis-elegans	2	NA
group2724	Thamnophis-elegans	5	OG0001069
group2725	Thamnophis-elegans	5	OG0013411
group2726	Thamnophis-elegans	11	OG0008044
group2727	Thamnophis-elegans	14	OG0011907
group2728	Thamnophis-elegans	14	OG0008624
group2728	Thamnophis-elegans	14	OG0008625
group2729	Thamnophis-elegans	NA	NA
group2730	Thamnophis-elegans	1	OG0001288
group2730	Thamnophis-elegans	1	OG0001288
group2731	Thamnophis-elegans	8	OG0014940
group2732	Thamnophis-elegans	NA	NA
group2733	Thamnophis-elegans	7	OG0005601
group2734	Thamnophis-elegans	6	OG0009889
group2735	Thamnophis-elegans	1	NA
group2736	Thamnophis-elegans	13	NA
group2737	Thamnophis-elegans	Z	NA
group2738	Thamnophis-elegans	16	NA
group2739	Thamnophis-elegans	NA	NA
group2740	Thamnophis-elegans	16	OG0003001
group2741	Thamnophis-elegans	NW_022473901.1	OG0013527
group2742	Thamnophis-elegans	NW_022473610.1	OG0002070
group2743	Thamnophis-elegans	NA	NA
group2744	Thamnophis-elegans	15	OG0000194
group2745	Thamnophis-elegans	Z	OG0005174
group2746	Thamnophis-elegans	1	OG0000967
group2747	Thamnophis-elegans	7	OG0001641
group2748	Thamnophis-elegans	13	OG0000162
group2749	Thamnophis-elegans	11	OG0008048
group2750	Thamnophis-elegans	2	OG0008105
group2751	Thamnophis-elegans	3	OG0000051
group2752	Thamnophis-elegans	15	NA
group2753	Thamnophis-elegans	8	OG0004287
group2754	Thamnophis-elegans	1	OG0012658
group2755	Thamnophis-elegans	NA	NA
group2756	Thamnophis-elegans	4	OG0002642
group2757	Thamnophis-elegans	9	OG0009928
group2758	Thamnophis-elegans	9	OG0000969
group2759	Thamnophis-elegans	13	OG0000425
group2760	Thamnophis-elegans	5	OG0002989
group2761	Thamnophis-elegans	17	OG0001103
group2762	Thamnophis-elegans	3	OG0000453
group2763	Thamnophis-elegans	2	OG0000023
group2764	Thamnophis-elegans	15	OG0005184
group2764	Thamnophis-elegans	15	OG0012217
group2765	Thamnophis-elegans	10	OG0000659
group2766	Thamnophis-elegans	12	OG0008809
group2767	Thamnophis-elegans	12	OG0000480
group2767	Thamnophis-elegans	12	OG0000480
group2768	Thamnophis-elegans	15	OG0014298
group2769	Thamnophis-elegans	6	NA
group2770	Thamnophis-elegans	12	OG0001378
group2771	Thamnophis-elegans	NA	NA
group2772	Thamnophis-elegans	11	OG0001450
group2773	Thamnophis-elegans	2	NA
group2774	Thamnophis-elegans	NA	NA
group2775	Thamnophis-elegans	Z	OG0015369
group2776	Thamnophis-elegans	NA	NA
group2777	Thamnophis-elegans	2	OG0000094
group2777	Thamnophis-elegans	2	OG0001637
group2778	Thamnophis-elegans	16	OG0004372
group2778	Thamnophis-elegans	16	OG0004373
group2779	Thamnophis-elegans	17	OG0000077
group2779	Thamnophis-elegans	17	OG0010639
group2780	Thamnophis-elegans	Z	OG0000005
group2780	Thamnophis-elegans	Z	OG0000005
group2781	Thamnophis-elegans	11	OG0001856
group2782	Thamnophis-elegans	10	OG0004986
group2783	Thamnophis-elegans	7	OG0004518
group2784	Thamnophis-elegans	NA	NA
group2785	Thamnophis-elegans	NA	NA
group2786	Thamnophis-elegans	NA	NA
group2787	Thamnophis-elegans	14	OG0000078
group2788	Thamnophis-elegans	5	NOG4391
group2789	Thamnophis-elegans	NA	NA
group2790	Thamnophis-elegans	15	OG0000187
group2791	Thamnophis-elegans	11	OG0000401
group2792	Thamnophis-elegans	2	OG0000006
group2793	Thamnophis-elegans	3	OG0010951
group2794	Thamnophis-elegans	2	OG0001066
group2795	Thamnophis-elegans	16	OG0000124
group2796	Thamnophis-elegans	12	OG0002385
group2797	Thamnophis-elegans	3	OG0008009
group2798	Thamnophis-elegans	Z	OG0000996
group2799	Thamnophis-elegans	9	OG0002223
group2800	Thamnophis-elegans	Z	OG0000002
group2801	Thamnophis-elegans	NA	NA
group2802	Thamnophis-elegans	12	NA
group2803	Thamnophis-elegans	NW_022473588.1	OG0000738
group2804	Thamnophis-elegans	Z	OG0000093
group2804	Thamnophis-elegans	Z	OG0015982
group2805	Thamnophis-elegans	NA	NA
group2806	Thamnophis-elegans	15	NA
group2807	Thamnophis-elegans	Z	NA
group2808	Thamnophis-elegans	1	OG0000001
group2809	Thamnophis-elegans	13	OG0005305
group2810	Thamnophis-elegans	15	OG0001068
group2811	Thamnophis-elegans	NA	NA
group2812	Thamnophis-elegans	8	OG0000266
group2813	Thamnophis-elegans	NA	NA
group2814	Thamnophis-elegans	NA	NA
group2815	Thamnophis-elegans	2	OG0000170
group2815	Thamnophis-elegans	2	OG0000198
group2815	Thamnophis-elegans	2	OG0001441
group2816	Thamnophis-elegans	2	OG0001529
group2817	Thamnophis-elegans	14	OG0007432
group2817	Thamnophis-elegans	14	OG0007433
group2818	Thamnophis-elegans	1	NA
group2819	Thamnophis-elegans	NA	NA
group2820	Thamnophis-elegans	2	OG0004415
group2820	Thamnophis-elegans	2	OG0004416
group2821	Thamnophis-elegans	Z	OG0000043
group2821	Thamnophis-elegans	Z	OG0000043
group2821	Thamnophis-elegans	Z	OG0000043
group2821	Thamnophis-elegans	Z	OG0000043
group2822	Thamnophis-elegans	11	OG0003558
group2823	Thamnophis-elegans	NA	NA
group2824	Thamnophis-elegans	Z	OG0000007
group2824	Thamnophis-elegans	Z	OG0000007
group2825	Thamnophis-elegans	Z	OG0000005
group2826	Thamnophis-elegans	NA	NA
group2827	Thamnophis-elegans	8	NA
group2828	Thamnophis-elegans	12	OG0000869
group2829	Thamnophis-elegans	2	OG0010057
group2830	Thamnophis-elegans	12	OG0002680
group2831	Thamnophis-elegans	17	OG0001543
group2831	Thamnophis-elegans	17	OG0014744
group2832	Thamnophis-elegans	14	OG0008630
group2832	Thamnophis-elegans	14	OG0008631
group2833	Thamnophis-elegans	Z	OG0000005
group2833	Thamnophis-elegans	Z	OG0000005
group2834	Thamnophis-elegans	NA	NA
group2835	Thamnophis-elegans	NA	NA
group2836	Thamnophis-elegans	NA	NA
group2837	Thamnophis-elegans	NW_022473583.1	OG0013216
group2838	Thamnophis-elegans	4	OG0000408
group2839	Thamnophis-elegans	11	NA
group2840	Thamnophis-elegans	11	NA
group2841	Thamnophis-elegans	NA	NA
group2842	Thamnophis-elegans	10	NA
group2843	Thamnophis-elegans	17	OG0000214
group2844	Thamnophis-elegans	NA	NA
group2845	Thamnophis-elegans	17	NA
group2846	Thamnophis-elegans	17	NA
group2847	Thamnophis-elegans	NA	NA
group2848	Thamnophis-elegans	17	OG0015933
group2849	Thamnophis-elegans	4	NA
group2850	Thamnophis-elegans	Z	OG0009499
group2851	Thamnophis-elegans	12	OG0005820
group2852	Thamnophis-elegans	Z	NA
group2853	Thamnophis-elegans	14	OG0006352
group2854	Thamnophis-elegans	12	OG0000480
group2855	Thamnophis-elegans	NA	NA
group2856	Thamnophis-elegans	6	OG0002448
group2857	Thamnophis-elegans	Z	NA
group2858	Thamnophis-elegans	NA	NA
group2859	Thamnophis-elegans	17	OG0000458
group2860	Thamnophis-elegans	Z	NA
group2861	Thamnophis-elegans	5	OG0003043
group2861	Thamnophis-elegans	5	OG0003044
group2862	Thamnophis-elegans	Z	NA
group2863	Thamnophis-elegans	NA	NA
group2864	Thamnophis-elegans	NA	NA
group2865	Thamnophis-elegans	4	NA
group2866	Thamnophis-elegans	2	OG0010085
group2866	Thamnophis-elegans	2	OG0010086
group2867	Thamnophis-elegans	17	NA
group2868	Thamnophis-elegans	Z	OG0011156
group2869	Thamnophis-elegans	13	OG0004872
group2870	Thamnophis-elegans	2	OG0000035
group2871	Thamnophis-elegans	NA	NA
group2872	Thamnophis-elegans	1	NA
group2873	Thamnophis-elegans	NA	NA
group2874	Thamnophis-elegans	NA	NA
group2875	Thamnophis-elegans	NA	NA
group2876	Thamnophis-elegans	17	OG0015934
group2877	Thamnophis-elegans	8	OG0001883
group2878	Thamnophis-elegans	17	NA
group2879	Thamnophis-elegans	11	NA
group2880	Thamnophis-elegans	NA	NA
group2881	Thamnophis-elegans	NA	NA
group2882	Thamnophis-elegans	2	OG0000035
group2883	Thamnophis-elegans	14	OG0006343
group2883	Thamnophis-elegans	14	OG0006344
group2884	Thamnophis-elegans	Z	OG0002768
group2885	Thamnophis-elegans	NA	NA
group2886	Thamnophis-elegans	NA	NA
group2887	Thamnophis-elegans	Z	OG0009510
group2888	Thamnophis-elegans	NA	NA
group2889	Thamnophis-elegans	13	OG0001994
group2889	Thamnophis-elegans	13	OG0005296
group2890	Thamnophis-elegans	10	NA
group2891	Thamnophis-elegans	NA	NA
group2892	Thamnophis-elegans	5	OG0005364
group2892	Thamnophis-elegans	5	OG0005365
group2893	Thamnophis-elegans	NA	NA
group2894	Thamnophis-elegans	2	OG0000366
group2895	Thamnophis-elegans	8	OG0004555
group2895	Thamnophis-elegans	8	OG0004556
group2896	Thamnophis-elegans	NA	NA
group2897	Thamnophis-elegans	NA	NA
group2898	Thamnophis-elegans	NA	NA
group2899	Thamnophis-elegans	NA	NA
group2900	Thamnophis-elegans	Z	OG0013076
group2901	Thamnophis-elegans	Z	NA
group2902	Thamnophis-elegans	12	OG0005789
group2903	Thamnophis-elegans	8	OG0005603
group2904	Thamnophis-elegans	6	NA
group2905	Thamnophis-elegans	7	OG0002535
group2906	Thamnophis-elegans	16	OG0000124
group2907	Thamnophis-elegans	NA	NA
group2908	Thamnophis-elegans	1	OG0000853
group2908	Thamnophis-elegans	1	OG0001288
group2909	Thamnophis-elegans	13	NA
group2910	Thamnophis-elegans	13	NA
group2911	Thamnophis-elegans	2	OG0000272
group2911	Thamnophis-elegans	2	OG0000272
group2912	Thamnophis-elegans	Z	OG0007720
group2913	Thamnophis-elegans	15	OG0012538
group2914	Thamnophis-elegans	2	OG0000035
group2915	Thamnophis-elegans	12	OG0006628
group2916	Thamnophis-elegans	12	OG0005820
group2917	Thamnophis-elegans	5	OG0000206
